t,x,y
10.800,3.802,0.361
10.820,4.057,0.513
10.840,4.257,0.640
10.860,4.353,0.652
10.880,4.410,0.632
10.900,4.383,0.570
10.920,4.290,0.482
10.940,4.130,0.368
10.960,3.907,0.203
10.980,3.776,0.055
11.000,3.759,0.034
11.020,3.759,0.034
11.040,3.759,0.034
11.060,3.759,0.034
11.080,3.759,0.034
11.100,3.759,0.034
11.120,3.759,0.034
11.140,3.759,0.034
11.160,3.759,0.034
11.180,3.759,0.034
11.200,3.759,0.034
11.220,3.759,0.034
11.240,3.759,0.034
11.260,3.759,0.034
11.280,3.759,0.034
11.300,3.759,0.034
11.320,3.759,0.034
11.340,3.759,0.034
11.360,3.759,0.034
11.380,3.759,0.034
11.400,3.759,0.034
11.420,3.759,0.034
11.440,3.759,0.034
11.460,3.759,0.034
11.480,3.759,0.034
11.500,3.759,0.034
11.520,3.759,0.034
11.540,3.759,0.034
11.560,3.759,0.034
11.580,3.759,0.034
11.600,3.759,0.034
11.620,3.759,0.034
11.640,3.759,0.034
11.660,3.759,0.034
11.680,3.759,0.034
11.700,3.759,0.034
11.720,3.759,0.034
11.740,3.759,0.034
11.760,3.759,0.034
11.780,3.759,0.034
11.800,3.759,0.034
11.820,3.759,0.034
11.840,3.759,0.034
11.860,3.759,0.034
11.880,3.759,0.034
11.900,3.759,0.034
11.920,3.759,0.034
11.940,3.759,0.034
