t,x,y
15.315,0.623,-4.407
15.335,0.665,-4.367
15.355,0.696,-4.332
15.375,0.716,-4.302
15.395,0.723,-4.276
15.415,0.719,-4.256
15.435,0.721,-4.235
15.455,0.729,-4.215
15.475,0.736,-4.194
15.495,0.737,-4.174
15.516,0.728,-4.146
15.536,0.708,-4.115
15.556,0.672,-4.084
15.576,0.633,-4.053
15.596,0.598,-4.022
15.616,0.565,-3.996
15.636,0.532,-3.975
15.656,0.507,-3.957
15.676,0.482,-3.940
15.696,0.453,-3.921
15.716,0.429,-3.899
15.736,0.413,-3.867
15.756,0.399,-3.829
15.776,0.388,-3.786
15.796,0.387,-3.742
15.816,0.387,-3.705
15.836,0.386,-3.677
15.856,0.386,-3.652
15.876,0.395,-3.640
15.896,0.403,-3.640
15.916,0.411,-3.653
15.936,0.423,-3.685
15.956,0.434,-3.741
15.976,0.433,-3.810
15.996,0.427,-3.886
16.016,0.423,-3.961
16.036,0.416,-4.024
16.056,0.403,-4.068
16.076,0.386,-4.091
16.096,0.353,-4.095
16.116,0.296,-4.087
16.136,0.214,-4.075
16.156,0.107,-4.058
16.176,-0.015,-4.039
16.196,-0.137,-4.021
16.216,-0.252,-4.000
16.236,-0.350,-3.969
16.256,-0.417,-3.937
16.276,-0.461,-3.908
16.296,-0.490,-3.879
16.316,-0.501,-3.850
16.336,-0.498,-3.828
16.356,-0.491,-3.807
16.376,-0.473,-3.784
16.396,-0.446,-3.763
16.416,-0.420,-3.749
16.436,-0.401,-3.738
16.456,-0.389,-3.729
16.476,-0.388,-3.725
16.496,-0.393,-3.726
16.517,-0.400,-3.724
16.537,-0.405,-3.722
16.557,-0.406,-3.726
16.577,-0.401,-3.730
16.597,-0.391,-3.736
16.617,-0.379,-3.745
16.637,-0.368,-3.751
16.657,-0.358,-3.745
16.677,-0.350,-3.730
16.697,-0.353,-3.707
16.717,-0.355,-3.679
16.737,-0.357,-3.650
16.757,-0.359,-3.627
16.777,-0.362,-3.607
16.797,-0.357,-3.579
16.817,-0.348,-3.541
16.837,-0.332,-3.494
16.857,-0.310,-3.439
16.877,-0.293,-3.380
16.897,-0.289,-3.338
16.917,-0.306,-3.314
16.937,-0.349,-3.307
16.957,-0.414,-3.318
16.977,-0.472,-3.337
