t,x,y
17.317,-2.958,-0.430
17.337,-2.909,-0.395
17.357,-2.858,-0.383
17.377,-2.804,-0.407
17.397,-2.757,-0.474
17.417,-2.716,-0.562
17.437,-2.683,-0.650
17.457,-2.649,-0.721
17.477,-2.601,-0.771
17.497,-2.527,-0.790
17.518,-2.435,-0.778
17.538,-2.331,-0.746
17.558,-2.229,-0.693
17.578,-2.153,-0.608
17.598,-2.113,-0.494
17.618,-2.098,-0.372
17.638,-2.093,-0.251
17.658,-2.097,-0.136
17.678,-2.093,-0.038
17.698,-2.067,0.033
17.718,-2.025,0.096
17.738,-1.975,0.154
17.758,-1.915,0.205
17.778,-1.851,0.242
17.798,-1.804,0.266
17.818,-1.774,0.267
17.838,-1.757,0.229
17.858,-1.751,0.160
17.878,-1.753,0.077
17.898,-1.748,-0.012
17.918,-1.738,-0.091
17.938,-1.735,-0.121
17.958,-1.742,-0.109
17.978,-1.760,-0.065
17.998,-1.792,0.007
18.018,-1.838,0.089
18.038,-1.874,0.152
18.058,-1.891,0.195
18.078,-1.886,0.221
18.098,-1.857,0.233
18.118,-1.802,0.245
18.138,-1.738,0.265
18.158,-1.679,0.294
18.178,-1.631,0.326
18.198,-1.596,0.356
18.218,-1.572,0.365
18.238,-1.554,0.354
18.258,-1.532,0.319
18.278,-1.505,0.266
18.298,-1.485,0.203
18.318,-1.475,0.143
18.338,-1.478,0.095
18.358,-1.493,0.065
18.378,-1.512,0.055
18.398,-1.523,0.065
18.418,-1.508,0.091
18.438,-1.468,0.129
18.458,-1.406,0.174
18.478,-1.326,0.218
18.498,-1.236,0.244
18.519,-1.159,0.244
18.539,-1.096,0.212
18.559,-1.045,0.140
18.579,-1.003,0.033
18.599,-0.969,-0.077
18.619,-0.929,-0.171
18.639,-0.883,-0.233
18.659,-0.844,-0.251
18.679,-0.816,-0.218
18.699,-0.802,-0.149
18.719,-0.804,-0.065
18.739,-0.824,0.015
18.759,-0.839,0.080
18.779,-0.845,0.127
18.799,-0.842,0.149
18.819,-0.824,0.164
18.839,-0.783,0.184
18.859,-0.735,0.215
18.879,-0.695,0.252
18.899,-0.666,0.297
18.919,-0.661,0.333
